,Name,Price
0,A Light in the Attic,"<p class=""price_color"">£51.77</p>"
1,Tipping the Velvet,"<p class=""price_color"">£53.74</p>"
2,Soumission,"<p class=""price_color"">£50.10</p>"
3,Sharp Objects,"<p class=""price_color"">£47.82</p>"
4,Sapiens: A Brief History of Humankind,"<p class=""price_color"">£54.23</p>"
5,The Requiem Red,"<p class=""price_color"">£22.65</p>"
6,The Dirty Little Secrets of Getting Your Dream Job,"<p class=""price_color"">£33.34</p>"
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","<p class=""price_color"">£17.93</p>"
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,"<p class=""price_color"">£22.60</p>"
9,The Black Maria,"<p class=""price_color"">£52.15</p>"
10,"Starving Hearts (Triangular Trade Trilogy, #1)","<p class=""price_color"">£13.99</p>"
11,Shakespeare's Sonnets,"<p class=""price_color"">£20.66</p>"
12,Set Me Free,"<p class=""price_color"">£17.46</p>"
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),"<p class=""price_color"">£52.29</p>"
14,Rip it Up and Start Again,"<p class=""price_color"">£35.02</p>"
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","<p class=""price_color"">£57.25</p>"
16,Olio,"<p class=""price_color"">£23.88</p>"
17,Mesaerion: The Best Science Fiction Stories 1800-1849,"<p class=""price_color"">£37.59</p>"
18,Libertarianism for Beginners,"<p class=""price_color"">£51.33</p>"
19,It's Only the Himalayas,"<p class=""price_color"">£45.17</p>"
